1558807138.500026213 10 -nan -nan 2.42092e-322
1558807147.222101828 1.33173 2.8198 4.30857 1.11165e-321
1558807147.368662862 1.34559 2.84485 4.30857 1.63042e-322
1558807147.509813309 1.35936 2.86985 4.30857 2.42092e-322
1558807147.715036979 1.72826 2.41875 3.92636 1.63042e-322
1558807147.797404639 1.73306 2.41562 3.92636 1.8231e-321
1558807147.934559631 1.7385 2.41417 3.92636 2.42092e-322
1558807148.080841080 1.74514 2.41496 3.92636 1.63042e-322
1558807148.220183403 1.75293 2.41816 3.92636 1.63042e-322
1558807148.362668220 1.76179 2.42348 3.92636 5.58294e-322
1558807148.505265450 1.7716 2.43078 3.92636 2.42092e-322
1558807148.662005310 2.22934 2.78609 3.53769 1.8231e-321
1558807148.789183652 2.23338 2.78935 3.53769 1.8231e-321
1558807148.929270935 2.23824 2.79624 3.53769 1.63042e-322
1558807149.076727406 2.24406 2.80594 3.53769 1.8231e-321
1558807149.219124446 2.25053 2.81785 3.53769 2.42092e-322
1558807149.362439307 2.25748 2.83153 3.53769 1.8231e-321
1558807149.508354663 2.26479 2.84663 3.53769 2.42092e-322
1558807149.652258848 2.27239 2.86275 3.53769 1.8231e-321
1558807149.923184384 2.12599 1.81319 3.06697 2.42092e-322
1558807149.927185172 2.12815 1.81346 3.06697 1.8231e-321
1558807150.076327749 2.13097 1.81556 3.06697 1.8231e-321
1558807150.222411459 2.1345 1.81945 3.06697 1.63042e-322
1558807150.362354140 2.13878 1.82519 3.06697 1.8231e-321
1558807150.509651826 2.14379 1.83266 3.06697 2.42092e-322
1558807150.648512420 2.14985 1.84215 3.06697 1.63042e-322
1558807150.786762541 2.15675 1.85385 3.06697 1.63042e-322
1558807150.927529345 2.16371 1.86581 3.06697 2.42092e-322
1558807151.070058259 1.07628 2.48566 3.06697 2.42092e-322
1558807151.212872714 1.08309 2.49982 3.06697 2.42092e-322
1558807151.356896412 1.09033 2.51665 3.06697 1.8231e-321
1558807151.500286066 1.09593 2.53534 3.06697 2.42092e-322
1558807151.642480244 1.10288 2.55737 3.06697 2.42092e-322
1558807151.794181599 1.11083 2.58064 3.06697 1.63042e-322
1558807151.935019482 1.11907 2.60408 3.06697 2.42092e-322
1558807152.071064528 1.12812 2.62891 3.06697 1.63042e-322
1558807152.281103071 1.53026 3.0865 1.91147 1.8231e-321
1558807152.357139386 1.53631 3.08978 1.91147 2.42092e-322
1558807152.500654385 1.54293 3.09391 1.91147 1.63042e-322
1558807152.648858464 1.5509 3.09966 1.91147 1.8231e-321
1558807152.785152586 1.5589 3.1065 1.91147 2.42092e-322
1558807152.928531018 1.56721 3.11435 1.91147 2.42092e-322
1558807153.072670793 1.57618 3.12359 1.91147 2.42092e-322
1558807153.277740780 1.66312 1.9917 3.0472 1.8231e-321
1558807153.356450922 1.66031 1.98186 3.0472 2.42092e-322
1558807153.506345578 1.66125 1.97844 3.0472 2.42092e-322
1558807153.642697098 1.66543 1.98055 3.0472 2.42092e-322
1558807153.787457833 1.67107 1.98283 3.0472 2.42092e-322
1558807153.929374158 1.67802 1.98809 3.0472 1.8231e-321
1558807154.073327814 1.68652 1.99574 3.0472 2.42092e-322
1558807154.279083782 1.90408 4.32731 1.91147 2.42092e-322
1558807154.357808828 1.90438 4.32367 1.91147 2.42092e-322
1558807154.498870252 1.90579 4.32223 1.91147 1.8231e-321
1558807154.645590044 1.90682 4.32582 1.91147 2.42092e-322
1558807154.786952321 1.90954 4.33218 1.91147 2.42092e-322
1558807154.934571802 1.9112 4.33566 1.91147 2.42092e-322
1558807155.071533818 1.91375 4.34032 1.91147 1.8231e-321
1558807155.213916474 1.91705 4.34589 1.91147 1.8231e-321
1558807155.453786380 1.24183 1.99356 1.19255 1.8231e-321
1558807155.498380678 1.24596 2.00353 1.19255 2.42092e-322
1558807155.643162984 1.25188 2.01728 1.19255 2.42092e-322
1558807155.786254823 1.25901 2.0332 1.19255 1.8231e-321
1558807155.928561827 1.2665 2.0498 1.19255 1.8231e-321
1558807156.079028286 1.27487 2.06814 1.19255 5.58294e-322
1558807156.213529935 1.28344 2.08688 1.19255 1.8231e-321
1558807156.462850406 1.7353 1.92044 3.0472 1.8231e-321
1558807156.498587646 1.74248 1.93026 3.0472 1.63042e-322
1558807156.649886885 1.75055 1.94207 3.0472 1.8231e-321
1558807156.793777287 1.75922 1.95472 3.0472 1.63042e-322
1558807156.929492390 1.76759 1.96762 3.0472 1.8231e-321
1558807157.073098847 1.77629 1.98168 3.0472 2.42092e-322
1558807157.213489418 1.78543 1.99725 3.0472 1.8231e-321
1558807157.460303543 0.644617 2.4919 1.8884 2.42092e-322
1558807157.498452506 0.651236 2.49797 1.8884 1.63042e-322
1558807157.642488274 0.655605 2.49972 1.8884 1.8231e-321
1558807157.788040035 0.661881 2.5061 1.8884 1.63042e-322
1558807157.935810674 0.668816 2.51361 1.8884 2.42092e-322
1558807158.082363069 0.676412 2.52251 1.8884 2.42092e-322
1558807158.213570578 0.684563 2.53268 1.8884 2.42092e-322
1558807158.367864845 0.693194 2.54403 1.8884 1.63042e-322
1558807158.500284303 0.702257 2.55656 1.8884 2.42092e-322
1558807158.672098557 1.86861 2.58748 2.51237 1.8231e-321
1558807158.790594116 1.86444 2.57425 2.51237 2.42092e-322
1558807158.928102717 1.86153 2.56356 2.51237 2.42092e-322
1558807159.072510938 1.85947 2.55459 2.51237 2.42092e-322
1558807159.214418644 1.85832 2.54754 2.51237 1.63042e-322
1558807159.361371539 1.85828 2.54275 2.51237 1.63042e-322
1558807159.500716089 1.85952 2.5406 2.51237 2.42092e-322
1558807159.673362275 2.28871 4.3378 0.266083 7.16395e-322
1558807159.796902892 2.29281 4.34203 0.266083 2.42092e-322
1558807159.934267536 2.29569 4.34755 0.266083 7.16395e-322
1558807160.083592962 2.29934 4.35461 0.266083 4.03285e-318
1558807160.225570920 2.30377 4.36321 0.266083 2.42092e-322
1558807160.364845564 2.30885 4.37312 0.266083 2.42092e-322
1558807160.507522907 2.3145 4.38416 0.266083 2.42092e-322
1558807160.723799781 1.06542 2.81628 2.53366 7.95446e-322
1558807160.785055939 1.06319 2.80977 2.53366 2.42092e-322
1558807160.929696356 1.06489 2.81058 2.53366 2.42092e-322
1558807161.072832804 1.06743 2.81267 2.53366 2.42092e-322
1558807161.214639685 1.07063 2.8158 2.53366 7.95446e-322
